match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1001,2025,2025-04-01,Wankhede Stadium,1,0.1,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,0.2,CSK,MI,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,0.3,CSK,MI,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,0,1,1,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,0.3,CSK,MI,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,0.4,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,0.5,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,4,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,0.6,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,1.1,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,1.2,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,2,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,1.3,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,1.4,CSK,MI,Ruturaj Gaikwad,Devon Conway,Akash Madhwal,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,1.5,CSK,MI,Ruturaj Gaikwad,Devon Conway,Akash Madhwal,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,1.6,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,1,0,,,,,,caught,Devon Conway,,
1001,2025,2025-04-01,Wankhede Stadium,1,2.1,CSK,MI,Ruturaj Gaikwad,Ajinkya Rahane,Hardik Pandya,3,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,2.2,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Hardik Pandya,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,2.3,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Hardik Pandya,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,2.4,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Hardik Pandya,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,2.5,CSK,MI,Ruturaj Gaikwad,Ajinkya Rahane,Hardik Pandya,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,2.6,CSK,MI,Ruturaj Gaikwad,Ajinkya Rahane,Hardik Pandya,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,3.1,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,3.2,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Tim David,2,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,3.3,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,3.4,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Tim David,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,3.5,CSK,MI,Ruturaj Gaikwad,Ajinkya Rahane,Tim David,4,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,3.6,CSK,MI,Ruturaj Gaikwad,Ajinkya Rahane,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,4.1,CSK,MI,Ajinkya Rahane,Ruturaj Gaikwad,Piyush Chawla,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,4.2,CSK,MI,Ruturaj Gaikwad,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,4.3,CSK,MI,Ruturaj Gaikwad,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,bowled,Ruturaj Gaikwad,,
1001,2025,2025-04-01,Wankhede Stadium,1,4.4,CSK,MI,Shivam Dube,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,4.5,CSK,MI,Shivam Dube,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,4.6,CSK,MI,Shivam Dube,Ajinkya Rahane,Piyush Chawla,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,5.1,CSK,MI,Ajinkya Rahane,Shivam Dube,Jasprit Bumrah,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,5.2,CSK,MI,Ajinkya Rahane,Shivam Dube,Jasprit Bumrah,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,5.3,CSK,MI,Shivam Dube,Ajinkya Rahane,Jasprit Bumrah,0,0,,,,,,caught and bowled,Shivam Dube,,
1001,2025,2025-04-01,Wankhede Stadium,1,5.4,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Jasprit Bumrah,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,5.5,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Jasprit Bumrah,4,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,5.6,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Jasprit Bumrah,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,6.1,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,6.2,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,4,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,6.3,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,6.4,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,2,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,6.5,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,6.6,CSK,MI,Ajinkya Rahane,Ravindra Jadeja,Akash Madhwal,2,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,7.1,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,7.2,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,7.3,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,7.4,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,7.5,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Tim David,1,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,7.6,CSK,MI,Ajinkya Rahane,Ravindra Jadeja,Tim David,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,8.1,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,0,2,2,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,8.1,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,0,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,8.2,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,4,0,,,,,,,,,
1001,2025,2025-04-01,Wankhede Stadium,1,8.3,CSK,MI,Ravindra Jadeja,Ajinkya Rahane,Akash Madhwal,0,0,,,,,,,,,
