match_no,date_x,stage_x,venue_x,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,match_id,date_y,venue_y,team1,team2,stage_y,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,runs,wickets
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,0.1,Ruturaj Gaikwad,Gerald Coetzee,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,1,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,0.2,Devon Conway,Gerald Coetzee,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,1,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,0.3,Devon Conway,Gerald Coetzee,0,1,1,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,2,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,0.3,Devon Conway,Gerald Coetzee,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,3,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,0.4,Ruturaj Gaikwad,Gerald Coetzee,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,3,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,0.5,Ruturaj Gaikwad,Gerald Coetzee,4,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,7,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,0.6,Ruturaj Gaikwad,Gerald Coetzee,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,7,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,1.1,Devon Conway,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,7,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,1.2,Devon Conway,Akash Madhwal,2,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,9,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,1.3,Devon Conway,Akash Madhwal,1,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,10,0
1001,2025-04-01,League,Wankhede Stadium,CSK,MI,1,1.4,Ruturaj Gaikwad,Akash Madhwal,0,0,,,,,,,,1001,2025-04-01,Wankhede Stadium,MI,CSK,League,MI,field,106,4,107,4,MI won by 6 wickets,MI,0,6,22,Ravindra Jadeja,Ravindra Jadeja,34,Piyush Chawla,2/17,10,0
